term1	term2	score
physiotherapist	air pollution analyst	0
physiotherapist	air quality consultant	0
physiotherapist	social pedagogue	0
physiotherapist	social pedagogy practitioner	0
physiotherapist	sewing machine operator	0
physiotherapist	computer stitcher	0
performing arts theatre instructor	performing arts theatre instructor	1
performing arts theatre instructor	acting school teacher	1
performing arts theatre instructor	conservatory theatre instructor	1
performing arts theatre instructor	aircraft interior technician	0
performing arts theatre instructor	aircraft furniture maker	0
performing arts theatre instructor	veneer grader	0
performing arts theatre instructor	plywood quality rater	0
performing arts theatre instructor	fluid power engineer	0
performing arts theatre instructor	fluid power assembler	0
performing arts theatre instructor	truck driving instructor	0
performing arts theatre instructor	lorry driver training instructor	0
hydrogenation machine operator	hydrogenation machine operator	1
hydrogenation machine operator	hydrogenation machine operative	1
hydrogenation machine operator	hydrogenator	1
hydrogenation machine operator	sport official	0
hydrogenation machine operator	off-court official	0
hydrogenation machine operator	fruit and vegetables specialised seller	0
hydrogenation machine operator	organic fruit and vegetable specialised seller	0
hydrogenation machine operator	sugar refinery operator	0
hydrogenation machine operator	sugar production operative	0
hydrogenation machine operator	business economics researcher	0
hydrogenation machine operator	business economist	0
pasta operator	pasta operator	1
pasta operator	pasta manufacturer	1
pasta operator	pasta production operator	1
pasta operator	veneer slicer operator	0
pasta operator	vaneer slicing machine technician	0
pasta operator	storyboard artist	0
pasta operator	storyboard and animatic artist	0
pasta operator	microsystem engineering technician	0
pasta operator	microsystem technician	0
pasta operator	event electrician	0
pasta operator	mobile power team member	0
tobacco shop manager	tobacco shop manager	1
tobacco shop manager	smokers products shop manager	1
tobacco shop manager	tobacconists shop manager	1
tobacco shop manager	marine upholsterer	0
tobacco shop manager	boat upholsterer	0
tobacco shop manager	paper embosing press operator	0
tobacco shop manager	paper embossing press tender	0
tobacco shop manager	construction painting supervisor	0
tobacco shop manager	commercial decorating supervisor	0
tobacco shop manager	deck officer	0
tobacco shop manager	ship first officer	0
rental service representative in machinery, equipment and tangible goods	rental service representative in machinery, equipment and tangible goods	1
rental service representative in machinery, equipment and tangible goods	rental sales desk clerk in other machinery, equipment and tangible goods	1
rental service representative in machinery, equipment and tangible goods	rental sales worker in other machinery, equipment and tangible goods	1
rental service representative in machinery, equipment and tangible goods	dance therapist	0
rental service representative in machinery, equipment and tangible goods	movement therapist	0
rental service representative in machinery, equipment and tangible goods	camping ground manager	0
rental service representative in machinery, equipment and tangible goods	campgrounds manager	0
rental service representative in machinery, equipment and tangible goods	pipeline engineer	0
rental service representative in machinery, equipment and tangible goods	main line station technician	0
rental service representative in machinery, equipment and tangible goods	glass engraver	0
rental service representative in machinery, equipment and tangible goods	diamond point glass engraver	0
mine surveyor	mine surveyor	1
mine surveyor	planner of mining operations	1
mine surveyor	mine plan maker	1
mine surveyor	wholesale merchant in office machinery and equipment	0
mine surveyor	chemistry technician	0
mine surveyor	production chemistry technician	0
mine surveyor	footwear patternmaker	0
mine surveyor	footwear pattern designer	0
mine surveyor	production engineering technician	0
mine surveyor	production engineering instrument mechanic	0
food safety specialist	food safety specialist	1
food safety specialist	food production quality controller	1
food safety specialist	trainee food safety specialist	1
food safety specialist	water jet cutter operator	0
food safety specialist	cnc waterjet cutter operator	0
food safety specialist	foreign exchange cashier	0
food safety specialist	foreign exchange teller	0
food safety specialist	materials engineer	0
food safety specialist	construction materials engineering adviser	0
food safety specialist	cultural facilities manager	0
food safety specialist	cultural facilities program coordinator	0
land-based machinery technician	land-based machinery technician	1
land-based machinery technician	land-based machinery mechanic	1
land-based machinery technician	land-based machinery technicians	1
land-based machinery technician	artillery officer	0
land-based machinery technician	munitions officer	0
land-based machinery technician	court jury coordinator	0
land-based machinery technician	court usher	0
land-based machinery technician	physical education vocational teacher	0
land-based machinery technician	teacher of vocational physical education	0
land-based machinery technician	motorcycle assembler	0
land-based machinery technician	cycle constructor	0
bus driver	bus driver	1
bus driver	intercity bus driver	1
bus driver	private bus operator	1
bus driver	sewing machine operator	0
bus driver	computer stitcher	0
bus driver	digital games developer	0
bus driver	video games developer	0
bus driver	stand-in	0
bus driver	film stand-in	0
bus driver	metal sawing machine operator	0
bus driver	cut-off operative	0
import export manager in meat and meat products	import export manager in meat and meat products	1
import export manager in meat and meat products	graduate export manager in meat and meat products	1
import export manager in meat and meat products	senior export manager in meat and meat products	1
import export manager in meat and meat products	optomechanical engineer	0
import export manager in meat and meat products	optomechanical technology engineering specialist	0
import export manager in meat and meat products	medical goods shop manager	0
import export manager in meat and meat products	pharmacy manager	0
import export manager in meat and meat products	aquaculture cage technician	0
import export manager in meat and meat products	cage technician	0
import export manager in meat and meat products	sculptor	0
import export manager in meat and meat products	clay sculptress	0
housing policy officer	housing policy officer	1
housing policy officer	policy officer, planning and housing	1
housing policy officer	housing policy development officer	1
housing policy officer	road marker	0
housing policy officer	white line marker	0
housing policy officer	translator	0
housing policy officer	post-editor	0
housing policy officer	fermenter operator	0
housing policy officer	chemicals fermenter operative	0
housing policy officer	kitchen porter	0
housing policy officer	pot and pan washer	0
head chef	head chef	1
head chef	industrial head chef	1
head chef	chef de cuisine	1
head chef	traditional chinese medicine therapist	0
head chef	therapist in tcm	0
head chef	zookeeper	0
head chef	zoo animal keeper	0
head chef	wholesale merchant in live animals	0
head chef	graduate wholesale merchant in live animals	0
head chef	malt master	0
head chef	malting expert	0
nonwoven filament machine operator	nonwoven filament machine operator	1
nonwoven filament machine operator	non-woven filament machine operator	1
nonwoven filament machine operator	non-woven yarn worker	1
nonwoven filament machine operator	leather goods cad patternmaker	0
nonwoven filament machine operator	leather goods cad modelist	0
nonwoven filament machine operator	child day care worker	0
nonwoven filament machine operator	childcarer	0
nonwoven filament machine operator	translation agency manager	0
nonwoven filament machine operator	language translation agency manager	0
nonwoven filament machine operator	blender operator	0
nonwoven filament machine operator	manufacturers of soft-drinks	0
head of higher education institutions	head of higher education institutions	1
head of higher education institutions	university chancellor	1
head of higher education institutions	rector of higher education	1
head of higher education institutions	interior landscaper	0
head of higher education institutions	experts in interior landscaping	0
head of higher education institutions	casino pit boss	0
head of higher education institutions	gaming supervisor	0
head of higher education institutions	police commissioner	0
head of higher education institutions	police chief	0
head of higher education institutions	clothing product grader	0
head of higher education institutions	clothing patternmaker	0
insulation supervisor	insulation supervisor	1
insulation supervisor	supervisor of installation of insulating materials	1
insulation supervisor	supervisor of insulation materials installation	1
insulation supervisor	rubber goods assembler	0
insulation supervisor	rubber goods production operative	0
insulation supervisor	sewerage maintenance technician	0
insulation supervisor	sewerage investigative cctv operative	0
insulation supervisor	hospital porter	0
insulation supervisor	general porter	0
insulation supervisor	optoelectronic engineering technician	0
insulation supervisor	opto-electronic technician	0
dismantling engineer	dismantling engineer	1
dismantling engineer	disassembly planner	1
dismantling engineer	dismantling manager	1
dismantling engineer	human resources manager	0
dismantling engineer	personnel director	0
dismantling engineer	palliative care social worker	0
dismantling engineer	hospice carer	0
dismantling engineer	upsetting machine operator	0
dismantling engineer	upsetter apprenticeship	0
dismantling engineer	fisheries adviser	0
dismantling engineer	fisheries specialist	0
insurance claims handler	insurance claims handler	1
insurance claims handler	claims handler	1
insurance claims handler	contract claims examiner	1
insurance claims handler	level crossing signalperson	0
insurance claims handler	level crossing attendant	0
insurance claims handler	cytology screener	0
insurance claims handler	cervical cytology screener	0
insurance claims handler	bespoke footwear technician	0
insurance claims handler	custom made footwear technician	0
insurance claims handler	intelligence officer	0
insurance claims handler	counter-terrorism analyst	0
clothing development manager	clothing development manager	1
clothing development manager	clothing manager	1
clothing development manager	sample room manager	1
clothing development manager	religion scientific researcher	0
clothing development manager	religious studies researcher	0
clothing development manager	environmental education officer	0
clothing development manager	environment education trainer	0
clothing development manager	water network operative	0
clothing development manager	water network operator	0
clothing development manager	nanny	0
clothing development manager	au pair	0
nitroglycerin separator operator	nitroglycerin separator operator	1
nitroglycerin separator operator	nitro-separator operator	1
nitroglycerin separator operator	nitroglycerin separator tender	1
nitroglycerin separator operator	wash deinking operator	0
nitroglycerin separator operator	deinking operator	0
nitroglycerin separator operator	import export specialist in machinery, industrial equipment, ships and aircraft	0
nitroglycerin separator operator	trainee import export specialist in machinery, industrial equipment, ships and aircraft	0
nitroglycerin separator operator	press and stationery shop manager	0
nitroglycerin separator operator	newsagent retail manager	0
nitroglycerin separator operator	fire safety tester	0
nitroglycerin separator operator	fire safety testing technologist	0
biomedical engineer	biomedical engineer	1
biomedical engineer	bme consultant	1
biomedical engineer	bio-medical engineer	1
biomedical engineer	guide	0
biomedical engineer	tour leader	0
biomedical engineer	online sales channel manager	0
biomedical engineer	online sales channel supervisor	0
biomedical engineer	computer scientist	0
biomedical engineer	ict researcher	0
biomedical engineer	animal trainer	0
biomedical engineer	dog training specialist	0
legal guardian	legal guardian	1
legal guardian	court-appointed guardian	1
legal guardian	welfare guardian	1
legal guardian	software developer	0
legal guardian	programmer	0
legal guardian	pulp grader	0
legal guardian	pulp and paper grader	0
legal guardian	aquaculture environmental analyst	0
legal guardian	aquaculture environmental scientist	0
legal guardian	timber trader	0
legal guardian	timber merchant	0
weaver	weaver	1
weaver	needle loom operator	1
weaver	weaving forewoman	1
weaver	technical sales representative in electronic and telecommunications equipment	0
weaver	electronic and telecommunications equipment  field saleswoman	0
weaver	flying director	0
weaver	flying fx director	0
weaver	energy engineer	0
weaver	energy technology engineering consultant	0
weaver	fisheries deckhand	0
weaver	fisherman	0
tile fitter	tile fitter	1
tile fitter	wall tiler	1
tile fitter	floor tiler	1
tile fitter	mechatronics engineer	0
tile fitter	robotics engineer	0
tile fitter	sales engineer	0
tile fitter	pcv sales technician	0
tile fitter	contact centre manager	0
tile fitter	customer service manager	0
tile fitter	youth worker	0
tile fitter	youth project team leader	0
shoe and leather accessories shop manager	shoe and leather accessories shop manager	1
shoe and leather accessories shop manager	footwear store manager	1
shoe and leather accessories shop manager	cobblers store manager	1
shoe and leather accessories shop manager	sterile services technician	0
shoe and leather accessories shop manager	disinfection assistant	0
shoe and leather accessories shop manager	ict operations manager	0
shoe and leather accessories shop manager	it process manager	0
shoe and leather accessories shop manager	library assistant	0
shoe and leather accessories shop manager	library technician	0
shoe and leather accessories shop manager	stagehand	0
shoe and leather accessories shop manager	loader & stage hand	0
tour operators manager	tour operators manager	1
tour operators manager	package tour manager	1
tour operators manager	package tour services manager	1
tour operators manager	tobacco specialised seller	0
tour operators manager	cigarette specialised seller	0
tour operators manager	metal drawing machine operator	0
tour operators manager	metal drawing machine technician	0
tour operators manager	plastic heat treatment equipment operator	0
tour operators manager	heat treating equipment setter	0
tour operators manager	aesthetician	0
tour operators manager	facialist	0
bee breeder	bee breeder	1
bee breeder	bee breeders	1
bee breeder	bees breeder	1
bee breeder	movie distributor	0
bee breeder	film distribution agent	0
bee breeder	electromechanical engineering technician	0
bee breeder	electromechanical engineering specialist	0
bee breeder	mine safety officer	0
bee breeder	health and safety manager	0
bee breeder	community development officer	0
bee breeder	social development officer	0
legal administrative assistant	legal administrative assistant	1
legal administrative assistant	paralegal assistant	1
legal administrative assistant	certified legal assistant	1
legal administrative assistant	weaver	0
legal administrative assistant	needle loom operator	0
legal administrative assistant	footwear production supervisor	0
legal administrative assistant	footwear product inspection supervisor	0
legal administrative assistant	insurance agency manager	0
legal administrative assistant	insurance institution manager	0
legal administrative assistant	automated cable vehicle controller	0
legal administrative assistant	cable propelled vehicle controller	0
petroleum pump system operator	petroleum pump system operator	1
petroleum pump system operator	master coffee roaster	0
petroleum pump system operator	diplomat	0
petroleum pump system operator	un diplomat	0
petroleum pump system operator	housing support worker	0
petroleum pump system operator	housing officer	0
petroleum pump system operator	construction safety inspector	0
petroleum pump system operator	safety controller	0
protective clothing apparel manufacturer	protective clothing apparel manufacturer	1
protective clothing apparel manufacturer	protective gear manufacturer	1
protective clothing apparel manufacturer	manufacturer of protective equipment	1
protective clothing apparel manufacturer	dairy processing technician	0
protective clothing apparel manufacturer	dairy technician	0
protective clothing apparel manufacturer	public health policy officer	0
protective clothing apparel manufacturer	healthcare services planning officer	0
protective clothing apparel manufacturer	pipe welder	0
protective clothing apparel manufacturer	pipefitter	0
protective clothing apparel manufacturer	hand brick moulder	0
protective clothing apparel manufacturer	tile mould maker	0
coating machine operator	coating machine operator	1
coating machine operator	coater operator	1
coating machine operator	coater technician	1
coating machine operator	mechanical engineering technician	0
coating machine operator	engineering technical apprentice	0
coating machine operator	data centre operator	0
coating machine operator	data centre operators	0
coating machine operator	pawnbroker	0
coating machine operator	deposit lender	0
coating machine operator	nitroglycerin separator operator	0
coating machine operator	nitro-separator operator	0
aquaculture hatchery manager	aquaculture hatchery manager	1
aquaculture hatchery manager	manager of aquaculture hatchery	1
aquaculture hatchery manager	aquaculture hatchery supervisor	1
aquaculture hatchery manager	soap drier operator	0
aquaculture hatchery manager	flaker operator	0
aquaculture hatchery manager	environmental technician	0
aquaculture hatchery manager	environmental conservation technician	0
aquaculture hatchery manager	leather goods quality manager	0
aquaculture hatchery manager	leather goods quality control manager	0
aquaculture hatchery manager	manicurist	0
aquaculture hatchery manager	nail technician	0
gear machinist	gear machinist	1
gear machinist	automotive gearing machinist	1
gear machinist	mechanical gearing  machinist	1
gear machinist	dewatering technician	0
gear machinist	dewatering operator	0
gear machinist	vineyard machinery operator	0
gear machinist	farm machinery operator	0
gear machinist	wholesale merchant in office furniture	0
gear machinist	photography shop manager	0
gear machinist	photographic articles shop manager	0
rooms division manager	rooms division manager	1
rooms division manager	director of rooms	1
rooms division manager	front desk manager	1
rooms division manager	forestry equipment operator	0
rooms division manager	logger	0
rooms division manager	aviation meteorologist	0
rooms division manager	aviation meteorological specialist	0
rooms division manager	tote operator	0
rooms division manager	tote technician	0
rooms division manager	private chauffeur	0
rooms division manager	personal valet	0
ceramic painter	ceramic painter	1
ceramic painter	painter of ceramic articles	1
ceramic painter	ceramic designer & painter	1
ceramic painter	wholesale merchant in machine tools	0
ceramic painter	trainee wholesale merchant in machine tools	0
ceramic painter	motor vehicles specialised seller	0
ceramic painter	salesperson motor dealership	0
ceramic painter	data centre operator	0
ceramic painter	data centre operators	0
ceramic painter	leather goods maintenance technician	0
telecommunications engineer	telecommunications engineer	1
telecommunications engineer	broadcast engineer	1
telecommunications engineer	telecommunications designer	1
telecommunications engineer	footwear production machine operator	0
telecommunications engineer	footwear production machinist	0
telecommunications engineer	leather goods manual operator	0
telecommunications engineer	leather parts manipulator	0
telecommunications engineer	nonwoven  textile technician	0
telecommunications engineer	non woven technician	0
telecommunications engineer	liquor grinding mill operator	0
adult literacy teacher	adult literacy teacher	1
adult literacy teacher	instructor in adult literacy and numeracy	1
adult literacy teacher	teacher of adult literacy and numeracy	1
adult literacy teacher	book publisher	0
adult literacy teacher	publishing house manager	0
adult literacy teacher	diesel engine mechanic	0
adult literacy teacher	mechanic diesel engine	0
adult literacy teacher	spinning textile technician	0
adult literacy teacher	spinning and winding supervisor	0
adult literacy teacher	automotive engineering technician	0
adult literacy teacher	bus engineering technician	0
footwear quality manager	footwear quality manager	1
footwear quality manager	footwear quality executive	1
footwear quality manager	footwear quality assurance manager	1
footwear quality manager	wastewater engineer	0
footwear quality manager	wastewater technology engineering consultant	0
footwear quality manager	perfume production machine operator	0
footwear quality manager	perfume production machine tender	0
footwear quality manager	precision device inspector	0
footwear quality manager	inspector of precision instruments	0
footwear quality manager	medical administrative assistant	0
footwear quality manager	health services administrative assistant	0
sprinkler fitter	sprinkler fitter	1
sprinkler fitter	fire sprinkler fitter	1
sprinkler fitter	fire safety system fitter	1
sprinkler fitter	commercial director	0
sprinkler fitter	commercial marketing specialist	0
sprinkler fitter	coffee, tea, cocoa and spices distribution manager	0
sprinkler fitter	graduate coffee, tea, cocoa and spices distribution manager	0
sprinkler fitter	footwear product development manager	0
sprinkler fitter	footwear product manager	0
sprinkler fitter	leather goods cad patternmaker	0
sprinkler fitter	leather goods cad modelist	0
electronic and telecommunications equipment and parts distribution manager	electronic and telecommunications equipment and parts distribution manager	1
electronic and telecommunications equipment and parts distribution manager	electronic and telecommunications equipment and parts distribution planner	1
electronic and telecommunications equipment and parts distribution manager	electronic and telecommunications equipment and parts supply chain manager	1
electronic and telecommunications equipment and parts distribution manager	foundry manager	0
electronic and telecommunications equipment and parts distribution manager	process manager	0
electronic and telecommunications equipment and parts distribution manager	brick and tile caster	0
electronic and telecommunications equipment and parts distribution manager	brick and tile making machine operative	0
electronic and telecommunications equipment and parts distribution manager	video artist	0
electronic and telecommunications equipment and parts distribution manager	visuals artist	0
electronic and telecommunications equipment and parts distribution manager	cellar operator	0
electronic and telecommunications equipment and parts distribution manager	fermentation cellar supervisor	0
special educational needs teacher secondary school	special educational needs teacher secondary school	1
special educational needs teacher secondary school	teacher in special educational needs in secondary schools	1
special educational needs teacher secondary school	high school special education teacher	1
special educational needs teacher secondary school	ict capacity planner	0
special educational needs teacher secondary school	it capacity planner	0
special educational needs teacher secondary school	animal facility manager	0
special educational needs teacher secondary school	aquarium ceo	0
special educational needs teacher secondary school	process metallurgist	0
special educational needs teacher secondary school	process metallurgy research scientist	0
special educational needs teacher secondary school	corrugator operator	0
special educational needs teacher secondary school	corrugator specialist	0
performance production manager	performance production manager	1
performance production manager	live event production manager	1
performance production manager	theatre production manager	1
performance production manager	milling machine operator	0
performance production manager	numerical controlled lathe technician	0
performance production manager	psychologist	0
performance production manager	expert counselling psychologist	0
performance production manager	glass painter	0
performance production manager	painter on glass	0
performance production manager	welder	0
performance production manager	maintenance welder	0
metal production manager	metal production manager	1
metal production manager	metal development managers	1
metal production manager	operations manager	1
metal production manager	software architect	0
metal production manager	software architects	0
metal production manager	tote operator	0
metal production manager	tote technician	0
metal production manager	investment clerk	0
metal production manager	investment administrator	0
metal production manager	pharmaceutical quality specialist	0
metal production manager	pharmaceutical quality technician	0
aircraft engine assembler	aircraft engine assembler	1
aircraft engine assembler	light aircraft engine assembler	1
aircraft engine assembler	piston aircraft engine assembler	1
aircraft engine assembler	beauty vocational teacher	0
aircraft engine assembler	cosmetology vocational teacher	0
aircraft engine assembler	goldsmith	0
aircraft engine assembler	goldsmiths	0
aircraft engine assembler	rental service representative in machinery, equipment and tangible goods	0
aircraft engine assembler	rental sales desk clerk in other machinery, equipment and tangible goods	0
aircraft engine assembler	import export manager in mining, construction and civil engineering machinery	0
aircraft engine assembler	international trade manager in mining, construction and civil engineering machinery	0
quarry engineer	quarry engineer	1
quarry engineer	drilling & blasting engineer	1
quarry engineer	mine engineer	1
quarry engineer	rental service representative in recreational and sports goods	0
quarry engineer	rental service worker in recreational and sports goods	0
quarry engineer	data entry supervisor	0
quarry engineer	data processing coordinator	0
quarry engineer	child care social worker	0
quarry engineer	social worker (child protection)	0
quarry engineer	horticulture production team leader	0
quarry engineer	horticultural foreman	0
audiology equipment shop manager	audiology equipment shop manager	1
audiology equipment shop manager	audiology shop manager	1
audiology equipment shop manager	hearing aid shop manager	1
audiology equipment shop manager	import export specialist in office furniture	0
audiology equipment shop manager	customs compliance specialist in office furniture	0
audiology equipment shop manager	steam engineer	0
audiology equipment shop manager	steam engineering adviser	0
audiology equipment shop manager	fertiliser mixer	0
audiology equipment shop manager	fertiliser mixing machine operator	0
audiology equipment shop manager	vineyard worker	0
audiology equipment shop manager	grape harvester	0
hardware and paint specialised seller	hardware and paint specialised seller	1
hardware and paint specialised seller	hardware, paint and glass specialised seller	1
hardware and paint specialised seller	hardware and paint diy specialised seller	1
hardware and paint specialised seller	street artist	0
hardware and paint specialised seller	muralist	0
hardware and paint specialised seller	financial controller	0
hardware and paint specialised seller	corporate controller	0
hardware and paint specialised seller	au pair	0
hardware and paint specialised seller	baby sitter	0
hardware and paint specialised seller	ict network administrator	0
hardware and paint specialised seller	network manager	0
primary school teacher	primary school teacher	1
primary school teacher	primary school music teacher	1
primary school teacher	primary school educator	1
primary school teacher	jewellery assembler	0
primary school teacher	jewelry craftsperson	0
primary school teacher	industrial tool design engineer	0
primary school teacher	industrial tool engineering specialist	0
primary school teacher	leather goods cad patternmaker	0
primary school teacher	leather goods cad modelist	0
primary school teacher	ict account manager	0
primary school teacher	it account manager	0
tram driver	tram driver	1
tram driver	light rail vehicle driver	1
tram driver	light rail train driver	1
tram driver	industrial robot controller	0
tram driver	industrial robot operative	0
tram driver	light board operator	0
tram driver	lighting board programmer & operator	0
tram driver	official veterinarian	0
tram driver	official vet	0
tram driver	water-based aquaculture technician	0
tram driver	water-based fish farm technician	0
container equipment assembly supervisor	container equipment assembly supervisor	1
container equipment assembly supervisor	container equipment sub assembler supervisor	1
container equipment assembly supervisor	container equipment assembly line senior operative	1
container equipment assembly supervisor	office equipment repair technician	0
container equipment assembly supervisor	office service technician	0
container equipment assembly supervisor	medicine lecturer	0
container equipment assembly supervisor	clinical lecturer	0
container equipment assembly supervisor	marine engineer	0
container equipment assembly supervisor	marine engineering specialist	0
container equipment assembly supervisor	minister of religion	0
container equipment assembly supervisor	nun	0
warehouse operator for clothing	warehouse operator for clothing	1
warehouse operator for clothing	clothing warehouse representatives	1
warehouse operator for clothing	warehouse person for clothing	1
warehouse operator for clothing	bicycle assembler	0
warehouse operator for clothing	road bike maker	0
warehouse operator for clothing	frame maker	0
warehouse operator for clothing	frames builder	0
warehouse operator for clothing	special effects artist	0
warehouse operator for clothing	special effect image designer	0
warehouse operator for clothing	instrumentation engineering technician	0
warehouse operator for clothing	control and instrumentation technologist	0
administrative assistant	administrative assistant	1
administrative assistant	communications assistant	1
administrative assistant	administrative office assistant	1
administrative assistant	tram driver	0
administrative assistant	light rail vehicle driver	0
administrative assistant	philosopher	0
administrative assistant	moralist	0
administrative assistant	building construction worker	0
administrative assistant	construction site worker	0
administrative assistant	early years teaching assistant	0
administrative assistant	assistant in early years education	0
coffee grinder	coffee grinder	1
coffee grinder	grinding machine attendant	1
coffee grinder	grinder operator	1
coffee grinder	therapeutic radiographer	0
coffee grinder	practitioner of therapeutic radiography	0
coffee grinder	investment analyst	0
coffee grinder	investment operations analyst	0
coffee grinder	insulating tube winder	0
coffee grinder	hand winder, insulating tubes	0
coffee grinder	energy consultant	0
coffee grinder	energy saving consultant	0
medical administrative assistant	medical administrative assistant	1
medical administrative assistant	health services administrative assistant	1
medical administrative assistant	medical institution administrative assistant	1
medical administrative assistant	cabin crew manager	0
medical administrative assistant	chief purser	0
medical administrative assistant	aquaculture rearing technician	0
medical administrative assistant	technician in aquaculture rearing	0
medical administrative assistant	footwear hand sewer	0
medical administrative assistant	mocassin sewer	0
medical administrative assistant	lexicographer	0
medical administrative assistant	bilingual dictionary editor	0
ICT security administrator	ict security administrator	1
ICT security administrator	system security administrator	1
ICT security administrator	network security administrator	1
ICT security administrator	warfare specialist	0
ICT security administrator	electronic warfare operator	0
ICT security administrator	leather goods quality technician	0
ICT security administrator	leather goods quality technologist	0
ICT security administrator	carbonation operator	0
ICT security administrator	sparkling machine operator	0
ICT security administrator	healthcare inspector	0
ICT security administrator	healthcare facilities inspector	0
bricklaying supervisor	bricklaying supervisor	1
bricklaying supervisor	bricklayer supervisor	1
bricklaying supervisor	bricksetter supervisor	1
bricklaying supervisor	user interface designer	0
bricklaying supervisor	ui designer	0
bricklaying supervisor	delicatessen shop manager	0
bricklaying supervisor	delicatessen counter manager	0
bricklaying supervisor	optoelectronic engineering technician	0
bricklaying supervisor	opto-electronic technician	0
bricklaying supervisor	automotive battery technician	0
bricklaying supervisor	automotive battery tester	0
slate mixer	slate mixer	1
slate mixer	slate mixing machine operator	1
slate mixer	slate mixing machine operative	1
slate mixer	energy systems engineer	0
slate mixer	energy conservation engineer	0
slate mixer	waiter/waitress	0
slate mixer	waiting staff	0
slate mixer	shoe and leather accessories specialised seller	0
slate mixer	leather accessories salesperson	0
slate mixer	computers, computer peripheral equipment and software distribution manager	0
slate mixer	computers, computer peripheral equipment and software supply chain manager	0
marine engineering technician	marine engineering technician	1
marine engineering technician	yacht  engineering technician	1
marine engineering technician	marine technologist	1
marine engineering technician	tool pusher	0
marine engineering technician	toolpushers	0
marine engineering technician	mastering engineer	0
marine engineering technician	mastering technician	0
marine engineering technician	commissioning technician	0
marine engineering technician	chilling operator	0
marine engineering technician	prepared meals operator	0
auction house manager	auction house manager	1
auction house manager	auctioneer	1
auction house manager	valuer	1
